Player,Matchs,Goals,Assists
Miguel Gutiérrez,11,0,2
Rodrigo Riquelme,10,3,0
Oriol Romeu,8,1,0
Juanpe,7,0,0
Arnau Martinez,8,2,0
Bernardo Espinosa,7,0,1
Yangel Herrera,8,0,2
David López,5,1,0
Yan Couto,9,0,0
Cristhian Stuani,7,3,0
Reinier,6,1,0
Javi,7,0,0
Manu Vallejo,7,0,1
Samuel Sáiz,6,1,0
Valery,6,0,1
Toni Villa,7,0,0
Ramón Terrats,4,0,0
Oscar Ureña,3,0,0
Paulo Gazzaniga,1,0,0
Casals,2,0,0
Ricard Artero,0,0,0
Toni Fuidias,0,0,0
Iván Martín,0,0,0
Matas,0,0,0
Eric Monjonell,0,0,0
Álex Sala,0,0,0
Pau Vict,0,0,0
Joseph Aidoo,11,1,0
Javi Galán,11,0,1
Agustín Marchesín,11,0,0
Fran Beltrán,11,0,1
Hugo Mallo,11,0,0
Iago Aspas,11,6,2
Unai Núñez,10,0,0
Óscar Rodrígu,10,2,0
Franco Cervi,10,0,1
Jørgen Stra,8,0,2
Renato Tapia,9,0,0
Gabriel Veiga,11,2,1
Carles Pérez,11,0,1
Gonçalo Paciência,7,1,0
Augusto Solari,6,0,1
Óscar Mingueza,7,0,0
Luca ,5,0,0
Carlos Dominguez,1,0,0
Miguel Baeza,0,0,0
Pablo Durán,0,0,0
Francisco Lopez,0,0,0
Miguel Rodríguez,0,0,0
Williot Swedberg,0,0,0
Kevin Vázquez,0,0,0
Iván Villar,0,0,0
Yassine Bounou,10,0,0
Nemanja Gudelj,9,1,0
Óliver Torres,9,3,0
Isco,10,0,2
Érik Lamela,10,3,0
Tanguy Nianzou,9,0,0
Joan Jordán,7,0,0
Fernando,6,0,0
Marcos Acuña,8,0,0
Gonzalo Montiel,6,0,1
Alex Telles,10,0,1
Papu Gómez,10,0,1
Jesús Navas,8,0,0
Rafa Mir,6,1,0
Carmona,9,2,1
Karim Rekik,5,1,0
Ivan Rakitić,8,0,0
Marcão,3,0,0
Enrique Valiente,4,0,1
Youssef En-Nesyri,8,0,0
Thomas Delaney,7,0,0
Kasper Dolberg,3,0,1
Marko Dmitrović,2,0,0
Lucas Ocampos,3,0,0
Jesús Corona,1,0,0
Suso,3,0,0
Iván Romero,1,0,0
Munir ,0,0,0
Adnan Januzaj,0,0,0
Alberto López,0,0,0
